Hora,Nome,ccu
20/04/2021 00:19,PLAYERUNKNOWN'S BATTLEGROUNDS,96304
20/04/2021 00:19,Source SDK Base 2013 Multiplayer,77261
20/04/2021 00:19,Path of Exile,67342
20/04/2021 00:19,Rust,58408
20/04/2021 00:49,Counter-Strike: Global Offensive,407900
20/04/2021 00:49,Dota 2,291518
20/04/2021 00:49,PLAYERUNKNOWN'S BATTLEGROUNDS,102215
20/04/2021 00:49,Team Fortress 2,98902
20/04/2021 00:49,Apex Legends,96648
20/04/2021 00:49,Source SDK Base 2013 Multiplayer,71680
20/04/2021 00:49,Path of Exile,64360
20/04/2021 00:49,Grand Theft Auto V,56745
20/04/2021 01:20,Counter-Strike: Global Offensive,410063
20/04/2021 01:20,Dota 2,290159
20/04/2021 01:20,PLAYERUNKNOWN'S BATTLEGROUNDS,111989
20/04/2021 01:20,Apex Legends,95551
20/04/2021 01:20,Team Fortress 2,94839
20/04/2021 01:20,Source SDK Base 2013 Multiplayer,65448
20/04/2021 01:20,Path of Exile,60935
20/04/2021 01:20,Grand Theft Auto V,59486
20/04/2021 01:50,Counter-Strike: Global Offensive,428132
20/04/2021 01:50,Dota 2,292484
20/04/2021 01:50,PLAYERUNKNOWN'S BATTLEGROUNDS,127002
20/04/2021 01:50,Apex Legends,96994
20/04/2021 01:50,Team Fortress 2,93629
20/04/2021 01:50,Grand Theft Auto V,63813
20/04/2021 01:50,Source SDK Base 2013 Multiplayer,61087
20/04/2021 01:50,Path of Exile,58215
20/04/2021 02:20,Counter-Strike: Global Offensive,431298
20/04/2021 02:20,Dota 2,291654
20/04/2021 02:20,PLAYERUNKNOWN'S BATTLEGROUNDS,139848
20/04/2021 02:20,Apex Legends,95787
20/04/2021 02:20,Team Fortress 2,94213
20/04/2021 02:20,Grand Theft Auto V,64352
20/04/2021 02:20,Source SDK Base 2013 Multiplayer,56836
20/04/2021 02:20,Path of Exile,55730
20/04/2021 02:50,Counter-Strike: Global Offensive,431896
20/04/2021 02:50,Dota 2,293463
20/04/2021 02:50,PLAYERUNKNOWN'S BATTLEGROUNDS,152911
20/04/2021 02:50,Team Fortress 2,95791
20/04/2021 02:50,Apex Legends,93174
20/04/2021 02:50,Grand Theft Auto V,63348
20/04/2021 02:50,Source SDK Base 2013 Multiplayer,55433
20/04/2021 02:50,Path of Exile,54229
20/04/2021 03:20,Counter-Strike: Global Offensive,418434
20/04/2021 03:20,Dota 2,269390
20/04/2021 03:20,PLAYERUNKNOWN'S BATTLEGROUNDS,164137
20/04/2021 03:20,Apex Legends,90526
20/04/2021 03:20,Grand Theft Auto V,62410
20/04/2021 03:20,Team Fortress 2,57444
20/04/2021 03:20,Path of Exile,53612
20/04/2021 03:20,Rust,43231
20/04/2021 08:24,Counter-Strike: Global Offensive,761092
20/04/2021 08:24,Dota 2,400837
20/04/2021 08:24,PLAYERUNKNOWN'S BATTLEGROUNDS,234100
20/04/2021 08:24,Apex Legends,126071
20/04/2021 08:24,Grand Theft Auto V,97083
20/04/2021 08:24,Team Fortress 2,85333
20/04/2021 08:24,Source SDK Base 2013 Multiplayer,81455
20/04/2021 08:24,Path of Exile,72921
20/04/2021 08:54,Counter-Strike: Global Offensive,814677
20/04/2021 08:54,Dota 2,441367
